Id,Code,Name,Retired,North Limit,South Limit,West Limit,East Limit
237,alz,Alur,,2.921,1.912,30.382,31.523
238,ama,Amanayé,,-3.621,-3.981,-48.92,-48.402
239,amb,Ambo,,7.107,7.041,10.733,10.827
240,amc,Amahuaca,,-7.364,-10.818,-73.915,-71.518
241,ame,Yanesha',,-9.886,-11.062,-75.689,-74.941
242,amf,Hamer-Banna,,5.823,4.434,36.042,36.993
243,amg,Amarag,,-11.633,-12.133,132.619,133.402
244,amh,Amharic,,13.47,7.65,35.835,42.088
245,ami,Amis,,24.013,22.713,121.085,121.615
246,amj,Amdang,,14.861,14.248,21.112,21.512
247,amk,Ambai,,-1.803,-1.961,136.322,136.784
248,aml,War-Jaintia,,25.185,24.192,91.755,92.24
249,amm,Ama,,-4.09,-4.318,141.587,141.728
250,amn,Amanab,,-3.403,-3.644,141.043,141.312
251,amo,Amo,,10.455,10.168,8.533,8.775
252,amp,Alamblak,,-4.588,-4.74,143.097,143.534
253,amq,Amahai,,-3.282,-3.351,128.91,128.968
254,amr,Amarakaeri,,-12.322,-12.819,-71.034,-70.072
255,ams,Amami-Oshima, Southern,,28.264,28.007,129.141,129.41
256,amt,Amto,,-4.024,-4.211,141.277,141.402
257,amu,Amuzgo, Guerrero,,16.924,16.62,-98.331,-98.048
258,amv,Ambelau,,-3.617,-3.911,127.129,127.247
259,amw,Western Neo-Aramaic,,33.87,33.767,36.43,36.538
260,amx,Anmatyerre,,-21.445,-22.886,131.981,134.59
261,amy,Ami,,-13.33,-13.628,129.813,130.267
262,amz,Atampaya,,-10.896,-11.11,142.145,142.4
263,ana,Andaqui,,2.74999,2.74999,-76,-76
264,anb,Andoa,,-3.29664,-3.29664,-76.6056,-76.6056
265,anc,Ngas,,9.539,9.231,9.136,9.787
266,and,Ansus,,-1.506,-1.817,135.275,135.967
267,ane,Xârâcùù,,-21.358,-21.995,165.774,166.218
268,anf,Animere,,7.613,7.593,0.41,0.429
269,anh,Nend,,-4.961,-5.127,144.81,144.962
270,ani,Andi,,42.913,42.706,46.119,46.465
271,anj,Anor,,-4.906,-5.082,144.735,144.867
272,ank,Goemai,,8.978,8.545,9.442,10.007
