lov	25.0833	97.0833
lrk	26.095	68.715
lrl	27.6436	54.6345
lrt	-8.4746	122.7619
lrz	-13.7427	167.436
lsd	31.7745	35.2225
lsg	48.5642	2.36811
lsh	27.7686	92.1838
lsl	56.9335	24.4931
lsm	0.3652	34.0335
lso	18.387	104.518
lti	-8.19808	127.674
ltn	-13.2396	-59.9925
lto	0.2975	34.6961
luq	22.9514	-82.441
luw	5.9072	9.91259
lwm	20.8542	99.9862
lwu	24.133878	101.498795
lyg	25.35	91.05
mbe	44.556	-122.857
mbx	-4.46436	142.963
mby	24.853	67.007
mcl	0.49999	-75.8333
mcm	-2	129
mdl	35.907	14.4824
mdy	5.91975	36.9892
mef	25.1292	91.6132
mfs	19.75	-98.5
mfw	-9.68333	147.45
mha	20.0962	83.6749
mhh	-22.234	-61.901
mhn	46.4916	10.8087
mho	-16.7256	22.5983
mhs	-3.43957	126.632
mia	40	-90
mid	31.3443	48.8128
mje	11.5697	15.4113
mkw	-4.15654	14.5648
mmv	0.58896	-69.7432
mmz	2.11942	20.8759
mnr	37.1935	-119.347
mnt	-20.4352	140.481
mom	13.5343	-85.1746
moq	-2.85747	132.845
mqa	0.59011	128.418
mrg	27.418	94.69
mrr	19.7875	79.9144
mru	8.78372	14.2254
msd	20.5	-89
msi	4.64808	117.024
msj	3.69351	26.9939
msp	-11.5833	-53.9667
msr	48.6852	107.528
mte	-7.05102	155.76
mtn	13.0333	-86
mtr	24.57	73.68
mvb	40.4321	-122.863
mvl	-24.46	136.641
mwe	-9.75639	38.8762
mwj	-7.93095	15.7421
mwu	7.45616	29.0002
mwx	-8.52758	37.8782
mwy	-5.43471	37.1869
mxn	-0.96532	131.52
mxr	3.7519	114.434
mxu	10.8806	14.1142
myc	-1.10038	17.8225
myh	48.3258	-124.616
myi	23.7425	74.5977
mys	7.53825	37.5742
myz	36.1203	49.5659
mzc	-19.04	46.87
mzy	-19.811	34.613
naa	-3.58	140.66
nay	-36.2301	140.158
nbd	3.27251	23.5669
nbs	-22.6	17.048
nbt	27.791	96.163
ncs	12.2509	-86.3399
ncz	31.75	-91.33
nde	-20.2513	27.4096
nds	50.771	6.092
neb	7.76747	-7.33105
ned	7.065	10.47
nef	27.688	96.349
ngh	-29.7054	19.0841
ngv	8.7162	13.4264
nha	-27.42523643	114.2680442
nhc	17.9371	-93.5688
nhh	20.4118	81.9775
nid	-12.8448	134.649
niq	0.793737	35.408478
njr	6.82183	11.521
njz	26	93.5
nlx	21.43	74.827
nlz	-10.8	165.8
nmj	3.90658	15.2154
nmx	-8.66403	141.706
nnr	-34.69	137.535
nnt	39.6778	-74.9865
nnv	-31.9899	133.908
noj	-1.25	-72.5
nok	48.2201	-121.973
noy	9.42495	17.9136
npl	18.3969	-97.1265
nru	27.8	100.9
nsc	7.22	10.58
nsd	23.058	101.412
nsf	25.646902	99.684187
nsi	6.49997	3.16664
nsl	60.7733	10.242
nsp	27.6993	85.3041
nsr	45.0427	-63.881
nsu	18.3969	-97.1265
nsv	23.058	101.412
nsz	38.047	-120.393
nts	4.16665	-75.0333
ntu	-10.6771	165.835
ntw	36.72	-77.115
nuc	-7.339	-73.5044
nue	4.88628	20.4218
nut	20.8965	104.286
nwo	-33.79661078	135.828014
nxd	-0.14363	22.6231
nxq	27.4599	100.182
nyi	12.0993	29.4332
nyp	3.4997	33.7365
nys	-33.1199	118.151
nyx	-29.581	151.313
nzs	-39.2923	175.773
nzz	14.49	-3.02
obi	35.2873	-120.669
oci	44.1415	6.82979
odk	27.5364	67.8475
okh	37.794	44.895
okj	13.0472	92.8753
okv	-8.79019	148.09
okx	7.29515	6.24719
olm	7.01279	6.02767
ome	0.99999	-70
omu	-4.92162	-75.9157
ona	-54	-68.5
onp	27.7686	92.1838
onx	-2.83	132.083
opt	31.15211	-110.06212
oti	-23.4645	-47.9505
otu	-15.2698	-59.6986
oum	-10.2288	149.101
paf	-9.34239	-59.053
pax	-9.08332	-39.6667
paz	-8.99999	-37.0167
pbg	10.8427	-71.8399
pbl	9.37299	11.1337
pbz	18.5	97.1666
pcl	19.9989	77.1234
pcm	9.65873	4.21068
pdc	47.3341	-87.8064
pdu	19.5183	97.4138
peb	38.5647	-122.586
pef	39.2894	-122.509
pej	39.1084	-123.209
pev	5.248	-66.082
pez	4.5915	114.584
pga	5.654	28.774
pgs	9.304	11.196
phd	18.7153	73.3684
pih	-25.07	-130.08
pij	0.49999	-75.3333
